,conditional_volatility
2019-01-01,0.010320430643958886
2019-01-02,0.009866296827475732
2019-01-03,0.00954825951888468
2019-01-04,0.009183035746328718
2019-01-07,0.009122026598563341
2019-01-08,0.008727804780721748
2019-01-09,0.0083165232119798
2019-01-10,0.007980958526838937
2019-01-11,0.00842254771694522
2019-01-14,0.008927318161792167
2019-01-15,0.009710941407218449
2019-01-16,0.009342633834624017
2019-01-17,0.008915573638573187
2019-01-18,0.0085987508232874
2019-01-21,0.008421112140554216
2019-01-22,0.00805557931735614
2019-01-23,0.007790373225967214
2019-01-24,0.007521093853066266
2019-01-25,0.007268306662711731
2019-01-28,0.006981848382378796
2019-01-29,0.0069913317650922005
2019-01-30,0.0071381940394564004
2019-01-31,0.006931575621046802
2019-02-01,0.006694472781889957
2019-02-04,0.006674113167032651
2019-02-05,0.00692207594133461
2019-02-06,0.008302738143349267
2019-02-07,0.007930280158512272
2019-02-08,0.007601498334902361
2019-02-11,0.007571995378544629
2019-02-12,0.008618620742801116
2019-02-13,0.00857840350964948
2019-02-14,0.008663098770987766
2019-02-15,0.008419922473159598
2019-02-18,0.008044765660024676
2019-02-19,0.007752701343954501
2019-02-20,0.007423675119313338
2019-02-21,0.007116251261795635
2019-02-22,0.00989507268012597
2019-02-25,0.009688715505473875
2019-02-26,0.009800071824969576
2019-02-27,0.009337650419316305
2019-02-28,0.008880521879685924
2019-03-01,0.010877073662305822
2019-03-04,0.01085176575298618
2019-03-05,0.01060100137835471
2019-03-06,0.010052542612787313
2019-03-07,0.009542552706178802
2019-03-08,0.009149377569976892
2019-03-11,0.008730873398023387
2019-03-12,0.008910585828393618
2019-03-13,0.008491710652696242
2019-03-14,0.0082686930017388
2019-03-15,0.008667428505981806
2019-03-18,0.008361868873314773
2019-03-19,0.008231804590811985
2019-03-20,0.008189397335206343
2019-03-21,0.007954409925646075
2019-03-22,0.007677582217755055
2019-03-25,0.007643519486245204
2019-03-26,0.007459005240583912
2019-03-27,0.0071770350331344
2019-03-28,0.007605523143615076
2019-03-29,0.0090019589639275
2019-04-01,0.008838696250509369
2019-04-02,0.008672274244830967
2019-04-03,0.009550958222280725
2019-04-04,0.009110973422079642
2019-04-05,0.00893862949308884
2019-04-08,0.009102220560698069
2019-04-09,0.008711615053659914
2019-04-10,0.008660761355446836
2019-04-11,0.008937168422063522
2019-04-12,0.00875051445834671
2019-04-15,0.008349950817697694
2019-04-16,0.008566365269751217
2019-04-17,0.008212409824525955
2019-04-18,0.00787725564808879
2019-04-19,0.007640764404127552
2019-04-22,0.007438296594357104
2019-04-23,0.007128765552884022
2019-04-24,0.007103060515781515
2019-04-25,0.007333887211353555
2019-04-26,0.0070738401544168895
2019-04-29,0.006805330443572427
2019-04-30,0.00654979458066662
2019-05-01,0.007347207454724837
2019-05-02,0.0075351923610831794
2019-05-03,0.00863580356879497
2019-05-06,0.008232454376254748
2019-05-07,0.007861701748656542
2019-05-08,0.007848140957080823
2019-05-09,0.007506627893942403
2019-05-10,0.008115049334494914
2019-05-13,0.007801854255587523
2019-05-14,0.007687504160616771
2019-05-15,0.007545507972347212
2019-05-16,0.008298012106681154
2019-05-17,0.008276869922736229
2019-05-20,0.007915669944307589
2019-05-21,0.007813426124378308
2019-05-22,0.00790179931262247
2019-05-23,0.007713350310778456
2019-05-24,0.007390388210266024
2019-05-27,0.007168249356637218
2019-05-28,0.006889648337520685
2019-05-29,0.006878416594848454
2019-05-30,0.006656703020994283
2019-05-31,0.006775887508109668
2019-06-03,0.00703032053927012
2019-06-04,0.006971657349910223
2019-06-05,0.007743073592569722
2019-06-06,0.007420351722439645
2019-06-07,0.007122229044767773
2019-06-10,0.006866844419686878
2019-06-11,0.006685222051673038
2019-06-12,0.006547964270399098
2019-06-13,0.006313827756912491
2019-06-14,0.007977709930612102
2019-06-17,0.008055952909474855
2019-06-18,0.007728441996627462
2019-06-19,0.007904018700207568
2019-06-20,0.007567775247523038
2019-06-21,0.007248078150177737
2019-06-24,0.007508024290999679
2019-06-25,0.008247731267734275
2019-06-26,0.008776060929117093
2019-06-27,0.008492756071342804
2019-06-28,0.008100907576115557
2019-07-01,0.009362108814856523
2019-07-02,0.00990528088653809
2019-07-03,0.010486883176124588
2019-07-04,0.010582822753179866
2019-07-05,0.010753182471550883
2019-07-08,0.010654773706209774
2019-07-09,0.010808484628129146
2019-07-10,0.010496816172274586
2019-07-11,0.010190669370063994
2019-07-12,0.011098537193488252
2019-07-15,0.010534326445369745
2019-07-16,0.010196179265651813
2019-07-17,0.00967755148898394
2019-07-18,0.009248615319568476
2019-07-19,0.008916895798531681
2019-07-22,0.008902751137643168
2019-07-23,0.008523898861823849
2019-07-24,0.008176760529906657
2019-07-25,0.008502177748289668
2019-07-26,0.00836685704858663
2019-07-29,0.010129091616640338
2019-07-30,0.009834610905917938
2019-07-31,0.009380560416316566
2019-08-01,0.009404508469668475
