method,price,standard_error,absolute_error,control_beta
black_scholes_closed_form,9.83482160635593,0.0,0.0,
standard_monte_carlo,9.97546759623433,0.1171433721458527,0.14064598987839894,
antithetic_variates,9.900804023481204,0.11717022355288403,0.06598241712527297,
control_variate,9.841050751831183,0.05099044208804403,0.006229145475252551,0.6084761911608312
asian_option_standard_mc,4.508952577181393,0.058077663681234425,,
