ticker,pc1_loading,pc2_loading
RELIANCE.NS,0.23845529768701995,-0.009964248675327757
TCS.NS,0.2695491332232708,0.10347672441624275
HDFCBANK.NS,0.30728074013566603,-0.5205251876376276
INFY.NS,0.3567468991205939,-0.39078599348130166
ICICIBANK.NS,0.3722215402442666,0.07100041677150039
LT.NS,0.2471753731277066,-0.12479629985777008
SBIN.NS,0.2785320497291798,0.09711556028574027
AXISBANK.NS,0.3460631524746755,0.7304198588723763
HINDUNILVR.NS,0.3258243608548215,-0.03571950632451262
BHARTIARTL.NS,0.3816368300321117,0.02640940229021015
