ticker,weight,standalone_99pct_var,marginal_var,component_var,component_var_pct
RELIANCE.NS,0.17999999999999997,0.027169054446678855,0.021166374617666524,0.0038099474311799734,0.1511001467993195
HDFCBANK.NS,0.12999999999999998,0.036252811379819026,0.026400354748609446,0.0034320461173192275,0.13611281560080743
ICICIBANK.NS,0.10999999999999997,0.0357842823561726,0.030539065494340954,0.0033592972043775043,0.1332276389353696
TCS.NS,0.13999999999999999,0.03179344341086979,0.02339992084286048,0.003275988918000467,0.12992368408335436
INFY.NS,0.09999999999999998,0.03951129553305598,0.029140935069331093,0.0029140935069331088,0.11557113704011543
LT.NS,0.08999999999999998,0.030944403699086773,0.020751672220210696,0.0018676504998189623,0.07406985786285958
HINDUNILVR.NS,0.06999999999999999,0.03286573622318307,0.026403905244143915,0.001848273367090074,0.07330137282395233
AXISBANK.NS,0.059999999999999984,0.03886593816444774,0.026959158408584753,0.0016175495045150847,0.06415100785569089
SBIN.NS,0.06999999999999999,0.03336917442944266,0.02258601271016117,0.0015810208897112817,0.06270230569931468
BHARTIARTL.NS,0.04999999999999999,0.037867906009954926,0.03017699002673641,0.0015088495013368202,0.05984003329921638
