,spot,strike,call_price,put_price
0,70,90,0.4380924159379802,17.56011290075552
1,70,100,0.08638531414688155,26.888630297277487
2,70,110,0.014362405207194062,36.49683188665085
3,75,90,1.121287067204424,13.24330755202196
4,75,100,0.279292238931351,22.081537222061954
5,75,110,0.058210040676117236,31.54067952211976
6,80,90,2.3771118404866947,9.499132325304238
7,80,100,0.7272158749218658,17.529460858052474
8,80,110,0.18564689894296293,26.66811638038662
9,85,90,4.341380242979383,6.463400727796916
10,85,100,1.5889627610832662,13.391207744213872
11,85,110,0.4862420519836954,21.968711533427353
12,90,90,7.048761176522014,4.170781661339554
13,90,100,3.011772788946942,9.814017772077555
14,90,110,1.082631802687029,17.56510128413069
15,95,90,10.434490424702332,2.5565109095198686
16,95,100,5.087833078482369,6.890078061612982
17,95,110,2.107807264131516,13.590276745575167
18,100,90,14.370748110075041,1.4927685948925742
19,100,100,7.831956862802237,4.634201845932843
20,100,110,3.673060367734273,10.155529849177938
21,105,90,18.71129449241083,0.8333149772283637
22,105,100,11.187503056908511,2.9897480400391174
23,105,110,5.8410975374550915,7.32356701889875
24,110,90,23.324454544213523,0.4464750290310633
25,110,100,15.051696712212959,1.8539416953435612
26,110,110,8.61515254908246,5.097622030526118
27,115,90,28.108483828799365,0.23050431361690205
28,115,100,19.305582954907905,1.1078279380385183
29,115,110,11.94565813218675,3.4281276136304086
30,120,90,32.993092895598906,0.1151133804164517
31,120,100,23.83747238383299,0.6397173669636018
32,120,110,15.748296933440784,2.230766414884439
33,125,90,37.93378974273561,0.055810227553160674
34,125,100,28.555771145894226,0.35801612902483715
35,125,110,19.92480802469855,1.4072775061422114
36,130,90,42.90433695611411,0.026357440931640608
37,130,100,33.39249573034577,0.19474071347637434
38,130,110,24.379997179212012,0.8624666606556719
