,spot,volatility,delta
0,90,0.12,0.2071805825262013
1,100,0.12,0.6647429642707
2,110,0.12,0.9392711274821053
3,90,0.18,0.30544387387823857
4,100,0.18,0.6251305731787263
5,110,0.18,0.8571971619908629
6,90,0.22,0.3480526034184583
7,100,0.22,0.6128288504735581
8,110,0.22,0.8157739769502249
9,90,0.3,0.40617256708333266
10,100,0.3,0.6022874968047034
11,110,0.3,0.7607040049813165
12,90,0.45,0.472144791291797
13,100,0.45,0.6030450002079988
14,110,0.45,0.7125220353145081
